date,product,ticker,close,strike,level_pct,barrier_px,buf_barrier,ki_px,buf_ki
2026-06-22,B,PLTR,119.5,177.49,0.673277,141.992,-0.158403,44.3725,1.693109
2026-06-23,A,^GSPC,7365.459961,7472.79,0.985637,6351.8715,0.159573,2615.4765,1.816106
2026-06-23,A,^KS200,1321.699951,1477.22,0.894721,1255.637,0.052613,517.027,1.556346
2026-06-23,A,^N225,69788.382812,72353.96,0.964541,61500.866,0.134754,25323.886,1.755832
2026-06-23,B,MU,1051.77002,345.09,3.047814,276.072,2.809767,86.2725,11.191255
2026-06-23,B,PLTR,116.699997,177.49,0.657502,141.992,-0.178123,44.3725,1.630007
2026-06-24,A,^GSPC,7358.220215,7472.79,0.984668,6351.8715,0.158433,2615.4765,1.813338
2026-06-24,A,^KS200,1369.619995,1477.22,0.92716,1255.637,0.090777,517.027,1.64903
2026-06-24,A,^N225,69174.96875,72353.96,0.956063,61500.866,0.12478,25323.886,1.73161
2026-06-24,B,MU,1048.51001,345.09,3.038367,276.072,2.797959,86.2725,11.153467
2026-06-24,B,PLTR,113.5,177.49,0.639473,141.992,-0.200659,44.3725,1.557891
2026-06-25,A,^GSPC,7357.490234,7472.79,0.984571,6351.8715,0.158318,2615.4765,1.813059
2026-06-25,A,^KS200,1454.150024,1477.22,0.984383,1255.637,0.158097,517.027,1.812522
2026-06-25,A,^N225,72366.34375,72353.96,1.000171,61500.866,0.176672,25323.886,1.857632
2026-06-25,B,MU,1213.560059,345.09,3.516648,276.072,3.39581,86.2725,13.066592
2026-06-25,B,PLTR,107.269997,177.49,0.604372,141.992,-0.244535,44.3725,1.417488
2026-06-26,A,^GSPC,7354.02002,7472.79,0.984106,6351.8715,0.157772,2615.4765,1.811732
2026-06-26,A,^KS200,1366.48999,1477.22,0.925042,1255.637,0.088284,517.027,1.642976
2026-06-26,A,^N225,69360.882812,72353.96,0.958633,61500.866,0.127803,25323.886,1.738951
2026-06-26,B,MU,1132.329956,345.09,3.28126,276.072,3.101575,86.2725,12.125039
2026-06-26,B,PLTR,112.93,177.49,0.636261,141.992,-0.204674,44.3725,1.545045
2026-06-29,A,^GSPC,7440.430176,7472.79,0.99567,6351.8715,0.171376,2615.4765,1.84477
2026-06-29,A,^KS200,1352.540039,1477.22,0.915598,1255.637,0.077174,517.027,1.615995
2026-06-29,A,^N225,69468.109375,72353.96,0.960115,61500.866,0.129547,25323.886,1.743185
